timestamp,temperature,humidity
2024-09-11 01:28:42.111238,25.8,47.5
2024-09-11 01:28:42.126356,25.8,47.5
2024-09-11 01:28:42.136466,25.8,47.5
2024-09-11 01:28:42.136466,25.8,47.5
2024-09-11 01:28:42.144666,25.8,47.5
2024-09-11 01:28:42.146991,25.8,47.5
2024-09-11 01:28:42.149407,25.8,47.5
2024-09-11 01:28:42.151326,25.8,47.5
2024-09-11 01:28:42.153114,25.8,47.5
2024-09-11 01:28:42.154976,25.8,47.5
2024-09-11 01:28:42.158462,25.8,47.5
2024-09-11 01:28:42.160066,25.8,47.5
2024-09-11 01:28:42.165686,25.8,47.5
2024-09-11 01:28:42.168200,25.8,47.5
2024-09-11 01:28:42.168200,25.8,47.5
2024-09-11 01:28:42.168200,25.8,47.5
2024-09-11 01:28:42.176772,25.8,47.5
2024-09-11 01:28:42.176772,25.8,47.5
2024-09-11 01:28:42.176772,25.8,47.5
2024-09-11 01:28:42.184284,25.8,47.5
2024-09-11 01:28:42.184284,25.8,47.5
2024-09-11 01:28:42.184284,25.8,47.5
2024-09-11 01:28:42.192762,25.8,47.5
2024-09-11 01:28:42.192762,25.8,47.5
2024-09-11 01:28:42.192762,25.8,47.5
2024-09-11 01:28:42.192762,25.8,47.5
2024-09-11 01:28:42.200777,25.8,47.5
2024-09-11 01:28:42.200777,25.8,47.5
2024-09-11 01:28:42.200777,25.8,47.5
2024-09-11 01:28:42.208785,25.8,47.5
2024-09-11 01:28:42.211236,25.8,47.5
2024-09-11 01:28:42.211236,25.8,47.5
2024-09-11 01:28:42.219658,25.8,47.5
2024-09-11 01:28:42.222981,25.8,47.5
2024-09-11 01:28:42.226866,25.8,47.5
2024-09-11 01:28:42.231824,25.8,47.5
2024-09-11 01:28:42.234948,25.8,47.5
2024-09-11 01:28:42.240252,25.8,47.5
2024-09-11 01:28:42.243853,25.8,47.5
2024-09-11 01:28:42.243853,25.8,47.5
2024-09-11 01:28:42.249367,25.8,47.5
2024-09-11 01:28:42.249367,25.8,47.5
2024-09-11 01:28:42.257982,25.8,47.5
2024-09-11 01:28:42.257982,25.8,47.5
2024-09-11 01:28:42.257982,25.8,47.5
2024-09-11 01:28:42.265496,25.8,47.5
2024-09-11 01:28:42.265496,25.8,47.5
2024-09-11 01:28:42.323785,25.8,47.5
2024-09-11 01:28:42.324798,25.8,47.5
2024-09-11 01:28:42.330307,25.8,47.5
2024-09-11 01:28:42.330307,25.8,47.5
2024-09-11 01:28:42.330307,25.8,47.5
2024-09-11 01:28:42.338325,25.8,47.5
2024-09-11 01:28:42.338325,25.8,47.5
2024-09-11 01:28:42.338325,25.8,47.5
2024-09-11 01:28:42.346317,25.8,47.5
